Fuel_Type_Code,Station_Name,Street_Address,Intersection_Directions,City,State,ZIP,Plus4,Station_Phone,Status_Code,Expected_Date,Groups_With_Access_Code,Access_Days_Time,Cards_Accepted,BD_Blends,NG_Fill_Type_Code,NG_PSI,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,EV_Other_Info,EV_Network,EV_Network_Web,Geocode_Status,Latitude,Longitude,Date_Last_Confirmed,ID,Updated_At,Owner_Type_Code,Federal_Agency_ID,Federal_Agency_Name,Open_Date,Hydrogen_Status_Link,NG_Vehicle _Class,LPG_Primary,E85_Blender_Pump,EV_Connector_Types,Country,Intersection_Directions_(French),Access_Days_Time(French),BD_Blends(French),Groups_With_Access_Code(French),Hydrogen_Is_Retail,Access_Code,Access DetailCode,Federal_Agency_Code,Facility_Type,CNG_Dispenser_Num,CNG_On-Site_Renewable_Source,CNG_Total_Compression_Capacity,CNG_Storage_Capacity,LNG_On-Site_Renewable_Source,E85_Other_Ethanol_Blends,EV_Pricing,EV_Pricing(French),LPG_Nozzle_Types,Hydrogen_Pressures,Hydrogen_Standards,CNG_Fill_Type_Code,CNG_PSI,CNG_Vehicle_Class,LNG_Vehicle_Class,EV_On-Site_Renewable_Source,Restricted_Access,RD_Blends,RD_Blends(French),RD_Blended_with_Biodiesel,RD_Maximum_Biodiesel_Level,NPS_Unit_Name,CNG_Station_Sells_Renewable_Natural_Gas,LNG_Station _Sells _Renewable_Natural_Gas,Maximum_Vehicle_Class,EV_Workplace_Charging,Funding_Sources
ELEC,Galpin Motors,15421 Roscoe Blvd,NULL,Sepulveda,CA,91343,,855-889-2811,E,,Public - Call ahead,Dealership business hours; customer use only,,,,,,2,,,Non-Networked,,200-9,34.221665,-118.468371,2025-06-06,6405,2025-06-06 18:42:11 UTC,P,,,2012-12-11,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,MD,FALSE,
ELEC,Galleria at Tyler,1299 Galleria at Tyler,NULL,Riverside,CA,92503,,951-351-3110,E,,Public,6am-12am daily,,,,,,4,,,Non-Networked,,GPS,33.909914,-117.459053,2023-09-14,6425,2025-05-16 15:00:13 UTC,P,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,NULL,Pasadena,CA,91103,,626-744-7665,E,,Public,24 hours daily; pay lot,CREDIT,,,,,26,,,Non-Networked,,200-8,34.14762,-118.147111,2025-06-06,6505,2025-07-17 16:07:56 UTC,LG,,,2014-01-20,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,NULL,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,CREDIT,,,,,3,,,Non-Networked,,GPS,34.145138,-118.152655,2025-06-06,6506,2025-06-06 18:42:11 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,NULL,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,CREDIT,,,,,3,,,Non-Networked,,GPS,34.145119,-118.150133,2025-06-06,6507,2025-06-06 18:42:11 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,"$1 for the first two hours, $2 each additional hour",,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Bristol Farms,606 Fair Oaks Ave,NULL,South Pasadena,CA,91030,,626-441-5450,E,,Public,24 hours daily,,,,,,,,1 LP Inductive,Non-Networked,,200-9,34.118433,-118.149597,2023-05-03,6509,2024-01-31 22:07:01 UTC,P,,,1997-08-31,,,,,,US,,,,Public,,public,,,GROCERY,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Hyatt Regency Long Beach,200 S Pine Ave,NULL,Long Beach,CA,90802,,562-491-1234,E,,Public,24 hours daily; pay lot; guest use only; see valet for access,,,,,,1,,,Non-Networked,,GPS,33.7637,-118.192,2025-06-06,7172,2025-06-06 18:42:11 UTC,P,,,2012-05-04,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Central Terminal Area (CTA) - P6,Los Angeles,CA,90045,,310-646-2911,E,,Public,24 hours daily; pay lot,,,,,,20,,,Non-Networked,,GPS,33.94325,-118.403342,2024-08-15,7184,2025-02-12 00:16:32 UTC,LG,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,$2 service fee + $0.45 per kWh,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Northridge Fashion Center East Garage Lower Level,9301 Tampa Ave,NULL,Northridge,CA,91324,,855-900-7584,E,,Public,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,,,,,,5,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.238716,-118.554686,2025-10-20,7192,2025-10-20 04:01:17 UTC,,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,NULL,Oxnard,CA,93030,,805-988-3600,E,,Public,24 hours daily; guest use only; 2 hour limit,,,,,,1,,,Non-Networked,,GPS,34.228315,-119.170865,2025-06-06,7195,2025-06-06 18:42:11 UTC,P,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,Hilton - Palm Springs,400 E Tahquitz Canyon Way,NULL,Palm Springs,CA,92262,,760-320-6868,E,,Public,24 hours daily; pay lot; priority given to registered guests,,,,,,2,,,Non-Networked,,GPS,33.824004,-116.543589,2025-06-06,7196,2025-06-06 18:42:11 UTC,P,,,2011-12-12,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,Inland Empire Foods,5425 Wilson St,NULL,Riverside,CA,92509,,951-682-8222,E,,Public,8am-4:30pm M-F,,,,,,4,,,Non-Networked,,GPS,34.0189,-117.38,2025-06-06,7206,2025-06-06 18:42:11 UTC,P,,,1998-05-30,,,,,J1772 TESLA,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Sacramento International Airport - Daily A Lot,Lindbergh Dr,NULL,Sacramento,CA,95837,,916-874-0670,E,,Public,24 hours daily; pay lot,,,,,,4,,,Non-Networked,,GPS,38.69005,-121.58889,2025-06-06,7212,2025-06-06 18:42:11 UTC,P,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,$12 parking fee,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,City of Santa Monica - Airport,3223 Donald Douglas Loop,NULL,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,34.017081,-118.44704,2023-01-10,7229,2023-02-14 15:54:11 UTC,LG,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,SOLAR,FALSE,,,,,,,,LD,FALSE,
ELEC,City of Santa Monica - Pier,200 Santa Monica Pier,NULL,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily; pay lot,,,,,,3,,,Non-Networked,,200-9,34.010021,-118.49583,2023-01-10,7230,2023-02-14 15:54:11 UTC,LG,,,2019-04-08,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Westfield Parking Garage 1st Floor,14006 Riverside Dr,NULL,Sherman Oaks,CA,91423,,855-900-7584,E,,Public,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,,,,,,2,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.156407,-118.438965,2025-10-20,7233,2025-10-20 04:04:02 UTC,,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Universal City Hilton,555 Universal Hollywood Dr,NULL,Universal City,CA,91608,,818-506-2500,E,,Public - Call ahead,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,10,,,Non-Networked,,200-8,34.13722,-118.35835,2024-07-11,7242,2025-02-12 00:16:32 UTC,P,,,1998-05-30,,,,,J1772 NEMA520,US,,,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Office Max - Home Depot,7075 Firestone Blvd,NULL,Downey,CA,90241,,562-806-6600,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,200-8,33.94756,-118.153806,2024-07-11,7250,2025-02-12 00:16:32 UTC,T,,,1998-06-15,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE,
ELEC,Hyatt at Fisherman's Wharf,555 N Point St,NULL,San Francisco,CA,94133,,415-563-1234,E,,Public,24 hours daily; pay lot; guest use only; see valet for access; 3 hour maximum,,,,,,1,,,Non-Networked,,GPS,37.80619,-122.4152,2025-06-06,7280,2025-06-06 18:42:11 UTC,P,,,1998-07-01,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,Arden Fair Mall,1689 Arden Way,NULL,Sacramento,CA,95815,,916-920-1167,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,200-8,38.599693,-121.427045,2025-06-06,7286,2025-06-06 18:42:11 UTC,P,,,2019-11-01,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Palace Hotel,2 New Montgomery St,NULL,San Francisco,CA,94105,,415-512-1111,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,37.78881,-122.401,2025-05-12,21358,2025-05-12 16:15:59 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,$10 per session,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Mark Hopkins InterContinental Hotel,999 California St,California at Mason,San Francisco,CA,94108,,415-392-3434,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,1,,,Non-Networked,,200-8,37.791791,-122.411265,2024-08-15,21360,2025-02-12 00:16:32 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,California State University - Northridge,18111 Nordhoff St,Lot G9 structure; Near Zelzah and Kenzie second level parking,Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,2,,,Non-Networked,,GPS,34.248959,-118.523887,2023-10-12,21395,2024-01-31 22:07:01 UTC,P,,,2002-01-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,California State University - Northridge,18111 Nordhoff St,"Lot B4; Prairie St, near Darby Ave",Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,2,,,Non-Networked,,GPS,34.241687,-118.528543,2023-10-12,21396,2024-01-31 22:07:01 UTC,P,,,2002-01-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free; parking is $8 per day.,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,California State University - Northridge,18111 Nordhoff St,"Surface lot B2; West side of Etiwanda, South of Prairie",Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,4,,,Non-Networked,,GPS,34.236853,-118.532588,2023-10-12,21397,2024-01-31 22:07:01 UTC,P,,,2002-01-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,NULL,San Pedro,CA,90731,,310-732-7678,E,,Public,8am-5pm daily,,,,,,4,,,Non-Networked,,200-9,33.740758,-118.28192,2024-07-11,21402,2025-02-12 00:16:32 UTC,P,,,2013-03-26,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free; pay for parking,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Getty Center,1200 Getty Center Dr,Eight Level 2 and four Level 1 chargers located in P2 of main parking area. Eight Level 2 and eight Level 1 chargers located at Top of Hill Parking.,Los Angeles,CA,90049,,310-440-7300,E,,Public,Garage business hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,12,15,,,Non-Networked,,200-9,34.077588,-118.474585,2025-05-12,21419,2025-05-12 16:15:59 UTC,P,,,2013-07-01,,,,,J1772 NEMA520,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free; parking fee,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,LA County DPR Arboretum,301 N Baldwin Ave,Located in parking lot directly across from Harvard Dr,Arcadia,CA,91007,,833-479-7359,E,,Public,24 hours daily,Proprietor,,,,,3,,,POWERFLEX,https://www.powerflex.com,GPS,34.145528,-118.050548,2025-05-12,21450,2025-05-12 16:15:59 UTC,P,,,2014-06-01,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,$0.45 per kWh from 4pm-9pm; $0.30 per kWh all other times,,,,,,,,,,FALSE,,,,,,,,LD,TRUE,
ELEC,City of Glendora - City Hall,114 S Vista Bonita Ave,Located across the street from City Hall,Glendora,CA,91741,,626-914-8200,T,22/11/2025,TEMPORARILY UNAVAILABLE (Public),5am-2am daily,,,,,,3,,,Non-Networked,,GPS,34.13556,-117.864,2025-06-06,21498,2025-06-06 18:42:11 UTC,LG,,,2002-04-30,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,NULL,Culver City,CA,90230,,310-649-1776,E,,Public,24 hours daily; guest use only; see valet,,,,,,2,,,Non-Networked,,GPS,33.9826,-118.3966,2023-06-12,21524,2024-01-31 22:07:01 UTC,P,,,2019-12-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,Helms Bakery Building,8800 Venice Blvd,NULL,Los Angeles,CA,90034,,310-204-1865,E,,Public,24 hours daily,,,,,,6,,,Non-Networked,,200-9,34.029971,-118.385231,2023-06-12,21525,2025-05-05 20:38:42 UTC,P,,,2017-04-25,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,"$1.35 per hour for first two hours, $3 per hour thereafter",,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Westfield MainPlace Mall,2800 N Main St,"Located in parking structure 5, near the food court, and near the 24 Hour Fitness",Santa Ana,CA,92705,,714-547-7800,E,,Public,Business hours,,,,,,8,,,Non-Networked,,GPS,33.777054,-117.870566,2024-07-11,21535,2025-02-12 00:16:32 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,California State University - Channel Islands,1 University Dr,Located in lot A3,Camarillo,CA,93012,,805-437-8400,E,,Public,24 hours daily; parking pass required or day pass available for purchase,,,,,,5,,,Non-Networked,,GPS,34.16657602,-119.0458547,2025-06-06,21559,2025-06-06 18:42:11 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free; $6 for parking day pass for non-permit holders,,,,,,,,,,TRUE,,,,,,,,MD,FALSE,
ELEC,Brea Downtown Parking,101 S Brea Blvd,NULL,Brea,CA,92821,,714-990-7650,E,,Public,Garage business hours; 4 hour parking limit,,,,,,4,,,Non-Networked,,200-8,33.919899,-117.898618,2023-07-11,21561,2025-05-28 18:55:50 UTC,LG,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Home Depot,2745 Teller Rd,In front of garden center,Newbury Park,CA,91320,,805-375-6680,E,,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,4,2,,,Non-Networked,,GPS,34.192178,-118.934793,2025-10-13,21565,2025-10-13 20:52:30 UTC,P,,,2002-05-15,,,,,J1772 NEMA515,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Baldwin Road/Casitas Pass Road,Oak View,CA,93022,,805-649-2233,E,,Public - Call ahead,8am-5pm daily,,,,,,1,,,Non-Networked,,GPS,34.418322,-119.3368,2024-07-11,21566,2025-02-12 00:16:32 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,PARK,,,,,,,$20 parking fee,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,San Dimas Park & Ride,205 S San Dimas Ave,Bonita Ave and San Dimas Ave,San Dimas,CA,91773,,909-394-6271,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,34.105275,-117.809208,2023-08-10,21569,2025-05-29 22:00:09 UTC,P,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Ventura County Government Center,800 S Victoria Ave,NULL,Ventura,CA,93009,,,E,,Public,8am-5pm daily,,,,,,3,,,Non-Networked,,GPS,34.267352,-119.2124,2023-10-12,21606,2025-05-29 20:32:14 UTC,LG,,,2012-10-19,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Ventura County Air Pollution Control District,669 County Square Dr,NULL,Ventura,CA,93003,,805-645-1400,E,,Public - Limited hours,8am-5pm daily,,,,,,3,,,Non-Networked,,GPS,34.268756,-119.2154,2024-05-09,21607,2025-02-12 00:16:32 UTC,LG,,,2012-10-18,,,,,J1772,US,,,,Public - Heures limitées,,public,LIMITED_HOURS,,MUNI_GOV,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Pacific View Mall,3295 E Main St,NULL,Ventura,CA,93003,,805-642-5530,T,01/11/2025,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2,,,Non-Networked,,GPS,34.268,-119.2492,2025-05-12,21608,2025-05-12 16:15:59 UTC,P,,,2002-05-30,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,LADWP - Scattergood Generating Facility,12700 Vista del Mar,NULL,Playa del Rey,CA,90293,,,E,,Private,Fleet use only,,,,,,21,,,Non-Networked,,200-9,33.917593,-118.425334,2023-09-14,21609,2025-08-18 15:54:31 UTC,LG,,,1999-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
ELEC,LA County DPW Baldwin Park,14747 E Ramona Blvd,NULL,Baldwin Park,CA,91706,,,E,,Private - Government only,,Proprietor,,,,,3,,,Non-Networked,,200-9,34.089085,-117.95463,2024-01-09,21612,2025-02-26 17:46:29 UTC,LG,,,2015-12-31,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,FLEET_GARAGE,,,,,,,,,,,,,,,,,,,,,,,,,LD,TRUE,
ELEC,LA County DPW Imperial,5525 E Imperial Hwy,NULL,South Gate,CA,90280,,,E,,Private - Government only,,Proprietor,,,,,1,,,POWERFLEX,https://www.powerflex.com,200-8,33.930663,-118.175758,2025-05-12,21618,2025-05-12 16:15:59 UTC,LG,,,2017-10-20,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,MUNI_GOV,,,,,,,$0.45 per kWh from 4pm-9pm; $0.30 per kWh all other times,,,,,,,,,,,,,,,,,,LD,TRUE,
ELEC,University of California - Davis Extension - Lot 80,1441 Research Park Dr,NULL,Davis,CA,95616,,530-752-8277,E,,Public,24 hours daily; parking pass required; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,3,,,Non-Networked,,GPS,38.539336,-121.732405,2023-01-10,21673,2025-05-07 15:59:42 UTC,SG,,,2004-06-01,,,,,J1772 NEMA520,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Parking fee,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
